ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
1,S2,8979,93,59,E,0
2,S2,15882,89,47,E,1
3,S2,7586,81,43,E,0
4,S2,11586,76,45,E,1
5,S2,10542,24,42,K,1
6,S2,10541,41,38,E,1
7,S2,10110,66,45,E,1
8,S2,18158,46,34,E,1
9,S2,11163,41,47,E,1
10,S2,12667,61,37,E,1
11,S2,9174,75,35,E,0
12,S2,24096,73,41,K,1
13,S2,9586,59,49,E,0
14,S2,10509,51,46,E,1
15,S2,9328,44,29,E,1
16,S3,16998,93,36,E,1
17,S3,9476,27,43,K,0
18,S3,13566,5,33,K,1
19,S4,18397,1,58,E,1
20,S4,14357,23,39,K,1
21,S4,12551,34,47,K,1
22,S4,12848,73,40,E,1
23,S4,15867,7,35,E,1
24,S4,15523,4,41,E,1
25,S4,12829,29,30,E,1
26,S4,12693,65,31,E,1
27,S4,12305,11,26,E,1
28,S4,14875,64,36,E,1
29,S4,11205,96,31,E,1
30,S4,11207,89,28,E,1
31,S4,12168,5,31,K,1
32,S4,5300,06,32,E,0
33,S4,15461,5,45,K,1
34,S4,11094,09,34,E,1
35,S4,20958,32,28,E,1
36,S4,11316,29,43,E,1
37,S4,12150,45,33,E,1
38,S4,13587,27,32,E,1
39,S4,13780,01,31,E,1
40,S4,12800,93,27,K,1
41,S4,14461,66,26,E,1
42,S4,9779,58,31,E,0
43,S4,12463,19,26,E,1
44,S4,7972,88,28,E,1
45,S4,12650,3,26,K,1
46,S5,13062,93,30,E,1
47,S6,18777,65,55,K,1
48,S6,14825,78,46,E,1
49,S6,30643,93,42,E,1
50,S6,10200,50,E,1
51,S7,9922,18,53,E,0
52,S7,6638,71,45,K,0
53,S8,17385,56,36,E,1
54,S8,8591,01,34,K,0
55,S8,21048,48,33,E,1
56,S9,6323,55,81,K,0
57,S9,14528,8,54,E,1
58,S9,10364,26,63,E,1
59,S9,14655,48,E,1
60,S9,15753,18,44,E,1
61,S9,11534,75,36,K,1
62,S9,5983,34,41,E,0
63,S9,5196,89,34,E,0
64,S9,11052,28,46,E,1
65,S9,13656,08,30,E,1
66,S9,11902,51,43,E,1
67,S9,6069,94,59,E,0
68,S9,6433,89,44,K,0
69,S9,6006,11,43,E,0
70,S9,12884,27,25,E,1
71,S9,7240,63,58,E,0
72,S9,11668,67,26,E,1
73,S9,10778,69,31,E,1
74,S9,10008,64,34,E,1
75,S9,10755,88,30,E,1
76,S11,12262,65,49,K,1
77,S11,7368,37,44,E,0
78,S11,7597,39,36,E,0
79,S11,6173,87,29,E,1
80,S11,8561,95,33,E,0
81,S12,13972,75,63,E,1
82,S12,10501,44,48,E,1
83,S12,12201,36,65,E,1
84,S12,17552,06,46,E,1
85,S12,13825,88,35,E,1
86,S12,14657,54,37,E,1
87,S13,8760,99,62,K,0
88,S13,36761,47,58,E,1
89,S13,10439,57,69,E,0
90,S13,16789,03,40,E,1
91,S13,5938,35,65,E,0
92,S13,36852,51,58,K,1
93,S13,15719,29,44,E,1
94,S13,12055,05,33,E,1
95,S13,15789,54,41,E,1
96,S13,9899,64,34,K,0
97,S13,17781,75,44,E,1
98,S13,8608,58,33,E,0
99,S13,9236,17,24,E,1
100,S13,9427,21,33,E,0
101,S13,15906,37,42,K,1
102,S14,8470,4,42,K,0
103,S14,10978,2,56,K,1
104,S14,15101,79,62,E,1
105,S14,12076,95,50,E,1
106,S14,14075,14,57,E,1
107,S14,12664,86,53,K,1
108,S14,23286,47,40,E,1
109,S14,10482,22,37,E,1
110,S14,9757,47,39,E,0
111,S14,13422,74,23,E,1
112,S15,15927,88,39,E,1
113,S15,24578,84,46,K,1
114,S15,10413,4,52,K,1
115,S15,10499,24,48,K,1
116,S15,6259,9,56,E,0
117,S15,9812,23,46,E,0
118,S15,9009,67,40,E,0
119,S15,11318,58,31,E,1
120,S15,8895,44,29,K,1
121,S16,8232,86,48,E,0
122,S16,17637,55,46,E,1
123,S16,30981,91,46,E,1
124,S16,8999,06,49,K,0
125,S16,10393,11,45,E,1
126,S16,9351,49,43,E,0
127,S16,9153,7,57,E,0
128,S16,12283,33,32,E,1
129,S16,7768,85,49,E,0
130,S16,9988,13,32,E,0
131,S16,9286,36,36,E,0
132,S16,10980,98,39,E,1
133,S16,8888,28,49,E,0
134,S16,9436,32,E,0
135,S16,9089,07,31,E,0
136,S17,9279,1,80,K,0
137,S17,7076,22,65,E,0
138,S17,12594,14,60,E,1
139,S17,7398,65,68,E,0
140,S17,8647,58,71,E,0
141,S18,11871,74,57,E,1
142,S18,21303,95,55,E,1
143,S18,14092,97,55,E,1
144,S18,9809,16,44,K,0
145,S18,9392,86,53,E,0
146,S18,14632,26,49,E,1
147,S18,14604,43,49,E,1
148,S18,15237,64,48,E,0
149,S18,15550,78,37,E,1
150,S18,8932,23,60,E,0
151,S18,5912,25,54,E,0
152,S18,11323,19,29,E,1
153,S18,8061,76,35,K,0
154,S18,15773,76,48,E,1
155,S18,14223,58,25,E,1
156,S18,12229,01,31,E,1
157,S18,7592,73,39,E,0
158,S18,9062,45,33,E,0
159,S18,12548,33,51,E,1
160,S18,12986,38,39,E,1
161,S18,11450,3,40,E,1
162,S18,23784,35,36,E,1
163,S2,16088,22,47,K,1
164,S2,10096,9,48,E,1
165,S2,10896,84,48,E,1
166,S2,15170,51,48,E,1
167,S2,8664,1,69,E,0
168,S2,18316,82,44,K,1
169,S2,11122,36,51,E,1
170,S2,17911,54,42,K,1
171,S2,9133,51,31,K,0
172,S2,13493,48,44,E,1
173,S2,13012,53,61,E,1
174,S2,11756,81,39,E,1
175,S2,10954,63,30,K,1
176,S2,10135,92,30,E,1
177,S2,11336,43,49,E,1
178,S2,29173,04,29,E,1
179,S2,39229,72,40,E,1
180,S2,13707,67,30,E,1
181,S2,12925,58,37,E,1
182,S2,14697,98,49,E,1
183,S2,22936,28,27,K,1
184,S2,34989,79,31,E,1
185,S2,14939,58,30,E,1
186,S2,13857,79,24,E,1
187,S2,14357,64,24,E,1
188,S2,18764,47,38,E,1
189,S2,68701,48,47,E,1
190,S2,24004,26,E,1
191,S2,6616,67,27,E,1
192,S21,6844,32,56,E,0
193,S21,11976,88,61,E,1
194,S21,13855,14,56,E,1
195,S21,9865,28,36,K,0
196,S21,10987,91,27,K,1
197,S21,5892,61,32,E,0
198,S22,19053,18,40,E,1
199,S22,14948,67,48,E,1
200,S22,6288,92,62,E,0
201,S22,12998,33,28,E,1
202,S22,8226,26,26,E,1
203,S22,15742,15,32,E,1
204,S22,14533,41,31,E,1
205,S22,7851,89,32,E,0
206,S22,5020,02,59,E,0
207,S22,20294,64,37,E,1
208,S22,24249,96,25,E,1
209,S23,6850,39,57,E,0
210,S23,10954,55,37,E,1
211,S24,10906,37,60,E,0
212,S24,14298,18,40,K,1
213,S24,13107,88,41,E,1
214,S24,9293,31,36,E,0
215,S24,10338,47,36,E,1
216,S24,9981,2,33,E,0
217,S24,8315,82,60,E,0
218,S26,13546,2,43,E,1
219,S26,14254,34,39,E,1
220,S26,16302,31,39,E,1
221,S26,15595,38,E,1
222,S26,14764,79,38,E,1
223,S26,14996,8,36,E,1
224,S26,14776,46,38,E,1
225,S26,15541,32,50,E,1
226,S26,14816,73,38,E,1
227,S26,16506,1,40,E,1
228,S26,14908,56,38,E,1
229,S26,12854,3,51,E,1
230,S26,14314,02,35,E,1
231,S26,15391,3,48,E,1
232,S26,14692,85,32,E,1
233,S26,15731,31,37,E,1
234,S26,9690,97,34,E,0
235,S26,16939,94,35,E,1
236,S26,14226,98,38,E,1
237,S26,15880,17,35,E,1
238,S26,20137,22,29,E,1
239,S26,12549,79,30,K,1
240,S26,12962,92,30,K,1
241,S26,15751,73,32,E,1
242,S26,13844,99,29,E,1
243,S26,25110,40,E,1
244,S26,12549,79,28,E,1
245,S26,14564,59,31,E,1
246,S26,11650,67,28,E,1
247,S26,13996,91,29,E,1
248,S26,12592,68,28,E,1
249,S26,13003,34,30,E,1
250,S26,11742,03,27,E,1
251,S26,10025,66,29,E,1
252,S26,14168,58,33,E,1
253,S26,13064,35,26,E,1
254,S26,9909,75,32,E,0
255,S26,13589,03,31,E,1
256,S26,13337,79,34,E,1
257,S26,13051,18,31,E,1
258,S26,14882,35,32,E,1
259,S26,10139,67,31,K,1
260,S26,20241,12,29,E,1
261,S26,13896,58,29,E,1
262,S26,11983,11,25,E,1
263,S26,12787,54,25,E,1
264,S26,12263,66,24,E,1
265,S26,11862,46,24,E,1
266,S26,12787,54,27,E,1
267,S26,11886,24,25,K,1
268,S26,6255,98,25,E,1
269,S26,10576,79,31,E,1
270,S26,15563,82,46,E,1
271,S26,12907,06,31,E,1
272,S26,11846,41,30,E,1
273,S26,13735,25,30,E,1
274,S26,13062,93,32,E,1
275,S26,12846,32,29,E,1
276,S26,12409,22,24,E,1
277,S26,10911,24,32,E,1
278,S26,12549,79,29,E,1
279,S26,9824,65,31,E,0
280,S26,10101,05,34,E,1
281,S26,12514,7,26,K,1
282,S26,12692,95,27,E,1
283,S26,12525,81,28,E,1
284,S26,12602,05,31,E,1
285,S26,13451,23,28,E,1
286,S26,14622,76,31,E,1
287,S26,13070,93,26,E,1
288,S26,9977,27,29,E,1
289,S26,12285,72,25,K,1
290,S27,6290,38,32,E,0
291,S28,17867,53,52,E,1
292,S28,14669,28,55,E,1
293,S28,5928,77,64,E,0
294,S28,8280,38,65,E,0
295,S28,16485,76,59,E,1
296,S28,7346,63,75,E,0
297,S28,10384,05,60,E,1
298,S28,6820,05,59,K,0
299,S28,8237,99,63,E,0
300,S28,11161,34,64,E,1
301,S28,13092,65,59,E,1
302,S28,13219,47,54,E,1
303,S28,9885,47,56,E,0
304,S28,8277,34,51,E,0
305,S28,16319,94,38,E,1
306,S28,8867,5,40,K,0
307,S28,7755,05,43,E,0
308,S28,15555,54,44,E,1
309,S28,13664,51,31,E,1
310,S28,10952,33,39,E,1
311,S28,16457,63,31,E,1
312,S28,11030,06,44,E,1
313,S28,7856,35,46,E,0
314,S28,17153,43,27,E,1
315,S28,13102,17,24,E,1
316,S28,18027,07,28,K,1
317,S28,17564,05,23,E,1
318,S28,9101,86,29,E,1
319,S29,5518,13,69,E,0
320,S29,14370,85,46,E,1
321,S29,6947,89,70,E,0
322,S29,15737,47,46,E,1
323,S29,9652,21,44,E,0
324,S29,7784,18,62,E,0
325,S29,13940,18,42,E,1
326,S29,8050,37,70,E,0
327,S29,11802,87,40,E,1
328,S29,22121,19,28,K,1
329,S29,12391,22,35,E,1
330,S29,16979,7,30,E,1
331,S29,8925,54,28,E,1
